AUDIT_KEY,SOURCE_OBJECT_KEY,BATCH_ID,ETL_RUN_DATE,LAYER_NAME,PIPELINE_RUNID,PIPELINE_TRIGGER_NAME,TRIGGERED_BY_PIPELINE,SOURCE_TABLE,TARGET_TABLE,PIPELINE_NAME,LOAD_FROM_DATETIME,LOAD_TO_DATETIME,PIPELINE_START_TIME,PIPELINE_END_TIME,TASK_DURATION_SECONDS,TARGET_ROW_COUNT,ROWS_EXTRACTED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,TOTAL_ROW_COUNT,FILE_SIZE_KB,LOAD_STATUS,ERROR_MESSAGE,PARTITION_KEY_VALUE,delta_max_value
4003,1100040,20241017150915,2024-10-17,RAW,b81b5170-4f42-42bf-b115-5f467b8715ac,Sandbox,null,retail_forex_mercuryfx,retail_forex_mercuryfx,pl_edp_static_source_raw_data_load,1990-01-01T00:00:00.000Z,2024-10-17T15:09:31.000Z,2024-10-17T15:09:15.000Z,2024-10-17T15:16:29.000Z,434,94315,94315,94315,null,null,null,4957,SUCCESS,,null,null
4004,1100048,20241017150915,2024-10-17,RAW,b81b5170-4f42-42bf-b115-5f467b8715ac,Sandbox,null,cfd_reliance_dashboard_tata_li_login,cfd_reliance_dashboard_tata_li_login,pl_edp_static_source_raw_data_load,1990-01-01T00:00:00.000Z,2024-10-17T15:09:31.000Z,2024-10-17T15:09:15.000Z,2024-10-17T15:17:08.000Z,473,337483,337483,337483,null,null,null,25541,SUCCESS,,null,null
4006,1100026,20241017152834,2024-10-17,RAW,d1658a3f-a43c-45b3-95b3-94c189210d90,Sandbox,null,dimcc_card_vis,dimcc_card_vis,pl_edp_static_source_raw_data_load,1990-01-01T00:00:00.000Z,2024-10-17T15:28:44.000Z,2024-10-17T15:28:34.000Z,2024-10-17T16:18:37.000Z,3003,8000506,8000506,8000506,null,null,null,1616477,SUCCESS,,null,null
4045,1002089,20241017131300,2024-10-17,CURATED,9a3b898d-6ac6-402c-8a21-309da57b83fd,Sandbox,pl_edp_finacle_curated_history_parent,DEMOGRAPHIC,DEMOGRAPHIC,pl_edp_finacle_curated_history_parent,1990-01-01T00:00:00.000Z,2022-12-31T23:59:59.000Z,2024-10-17T18:11:49.000Z,2024-10-17T18:20:43.000Z,534,31283613,31283613,31283613,0,0,null,null,SUCCESS,null,null,null
4048,1079007,20241017181403,2024-10-17,RAW,1685ce2a-008c-42a9-b0cd-fe476ca2a6f1,Sandbox,null,MFX_TRANSACTION_MASTER,MFX_TRANSACTION_MASTER,pl_edp_forex_raw_load_parent,1990-01-01T05:30:00.000Z,2024-10-17T18:14:14.000Z,2024-10-17T18:14:03.000Z,2024-10-17T18:16:13.000Z,130,497846,497846,null,null,null,null,92370,SUCCESS,null,null,null
4049,1079006,20241017181403,2024-10-17,RAW,1685ce2a-008c-42a9-b0cd-fe476ca2a6f1,Sandbox,null,MFX_TRANSACTION,MFX_TRANSACTION,pl_edp_forex_raw_load_parent,1990-01-01T05:30:00.000Z,2024-10-17T18:14:14.000Z,2024-10-17T18:14:03.000Z,2024-10-17T18:18:10.000Z,246,904009,904009,null,null,null,null,141652,SUCCESS,null,null,null
4054,1079015,20241017181403,2024-10-17,RAW,1685ce2a-008c-42a9-b0cd-fe476ca2a6f1,Sandbox,null,MFX_LMT_PURPOSE_MAP,MFX_LMT_PURPOSE_MAP,pl_edp_forex_raw_load_parent,1990-01-01T05:30:00.000Z,2024-10-17T18:14:14.000Z,2024-10-17T18:14:03.000Z,2024-10-17T18:17:55.000Z,231,51,51,null,null,null,null,2,SUCCESS,null,null,null
4068,1079006,20241017181403,2024-10-17,CURATED,0b13372b-6ea2-4ef3-980b-1645dbbd9d7c,Sandbox,pl_edp_forex_curated_daily_child,MFX_TRANSACTION,MFX_TRANSACTION,pl_edp_forex_curated_data_load_daily_parent,1990-01-01T05:30:00.000Z,2024-10-17T18:14:14.000Z,2024-10-17T18:23:53.000Z,2024-10-17T18:34:07.000Z,614,904009,904009,904009,0,0,null,null,SUCCESS,null,null,null
4069,1002089,20241017183040,2024-10-17,RAW,befdc1f6-a4b4-4bf0-afbe-62696b55c540,Sandbox,null,DEMOGRAPHIC,DEMOGRAPHIC,pl_edp_finacle_raw_history_data_load_parent,2023-01-01T00:00:00.000Z,2024-10-16T23:59:59.000Z,2024-10-17T18:30:40.000Z,2024-10-17T22:04:19.000Z,12818,19515089,19515089,null,null,null,null,764300,SUCCESS,null,null,null
4071,1079007,20241017181403,2024-10-17,CURATED,0b13372b-6ea2-4ef3-980b-1645dbbd9d7c,Sandbox,pl_edp_forex_curated_daily_child,MFX_TRANSACTION_MASTER,MFX_TRANSACTION_MASTER,pl_edp_forex_curated_data_load_daily_parent,1990-01-01T05:30:00.000Z,2024-10-17T18:14:14.000Z,2024-10-17T18:23:53.000Z,2024-10-17T18:38:10.000Z,857,497846,497846,497846,0,0,null,null,SUCCESS,null,null,null
